d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae	2770146.1621621624	2714684.0	37
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__CAMASH01	2958034.125	2931035.0	16
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__CAMASH01;s__	2958034.125	2931035.0	16
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5893	1561167.75	1270760.5	44
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5893;s__	1595408.7	1274417.0	40
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__	2864131.6363636362	2726167.0	22
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	2864131.6363636362	2726167.0	22
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	2864131.6363636362	2726167.0	22
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales	2638849.858974359	2565160.0	624
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	2641825.202572347	2566136.5	622
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella	2881374.1029411764	2990061.0	136
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__	2893700.183206107	2995548.0	131
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	3451768.899082569	3330936.0	109
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__AWTP1-13	3873144.1276595746	3700129.0	47
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__AWTP1-13;s__	3873144.1276595746	3700129.0	47
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys	3163500.3181818184	2955064.5	462
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__	3188496.977578475	2975477.5	446
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae	1954870.2932330826	1965552.0	266
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter	1954870.2932330826	1965552.0	266
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__	1943734.5991561182	1949955.0	237
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21	1614063.66954023	1591671.5	348
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__	1605998.93129771	1569293.5	262
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium	5137885.009090909	4972494.5	220
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	5067705.482758621	4916810.0	203
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	4309733.892857143	4196378.5	140
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_F	4958497.0	4958497.0	1
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium_F;s__	4958497.0	4958497.0	1
d__Bacteria;p__Actinomycetota;c__Actinomycetia	4214572.896415553	3777953.5	3292
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Jiangellales	3494894.3695652173	3298979.0	46
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Jiangellales;f__Jiangellaceae	3481596.7317073173	3272036.0	41
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Jiangellales;f__Jiangellaceae;g__JACVRX01	2837536.75	2759403.0	12
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Jiangellales;f__Jiangellaceae;g__JACVRX01;s__	2837536.75	2759403.0	12
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales	4649943.3118971065	4216731.0	1244
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae	4452466.347402598	4358039.5	308
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	4327448.8086956525	4196300.5	230
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	4347500.021276596	4164623.5	188
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TH5896;s__TH5896 sp014523665	1192974.0	1192974.0	2
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales	3436286.963190184	3293276.0	489
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae	3045817.06185567	3013467.5	194
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__JAJTCL01	3104224.976744186	3118818.0	129
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__JAJTCL01;s__	3100772.0793650793	3122669.0	126
d__Bacteria;p__Desulfobacterota_B	3793815.7632776937	3553493.0	659
d__Bacteria;p__Desulfobacterota_B;c__Binatia	3794614.810030395	3560045.5	658
d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968	4063322.082089552	3745417.0	402
d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968	4060719.7680798005	3738148.0	401
d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20	4278860.375886525	3977355.0	141
d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__	4270141.795620438	3857663.0	137
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JAEUJM01	3106458.4545454546	3193448.0	11
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JAEUJM01;g__	3106458.4545454546	3193448.0	11
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JAEUJM01;g__;s__	3106458.4545454546	3193448.0	11
d__Bacteria;p__Acidobacteriota	4183265.360505667	3980428.5	4588
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	4468458.786885246	4414363.0	549
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales	4695222.130548303	4541227.0	383
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999	4844663.144	4695969.5	250
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__	4330383.228571429	3943221.0	35
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__	4330383.228571429	3943221.0	35
d__Bacteria;p__Actinomycetota;c__	3798598.253968254	3634908.0	63
d__Bacteria;p__Actinomycetota;c__;o__	3798598.253968254	3634908.0	63
d__Bacteria;p__Actinomycetota;c__;o__;f__	3798598.253968254	3634908.0	63
d__Bacteria;p__Actinomycetota;c__;o__;f__;g__	3798598.253968254	3634908.0	63
d__Bacteria;p__Actinomycetota;c__;o__;f__;g__;s__	3798598.253968254	3634908.0	63
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae	1196138.4733096086	1170929.0	281
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea	1207378.2285714287	1163925.0	140
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotalea;s__	1180958.935483871	1138143.0	93
d__Bacteria;p__Bacillota	2535252.2931937175	2328269.0	573
d__Bacteria;p__Bacillota;c__Bacilli	2535252.2931937175	2328269.0	573
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales	3046771.8571428573	2875519.0	175
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H	3063593.72	2875757.0	25
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Priestia	3007695.0833333335	2844738.5	24
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Priestia;s__Priestia zanthoxyli	1926336.7142857143	1979228.0	7
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales	2348162.5825545173	2331035.0	963
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	2318183.211817168	2315414.0	897
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9	2586770.3647058825	2685944.0	85
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__3-1-20CM-4-69-9;s__	2579605.073170732	2678021.0	82
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739	2254116.441314554	2311981.0	213
