"oxygen tolerance","pH optimum","salinity optimum","temperature optimum","doubling time","genome size","GC content","gene density","proportion free living","biosynthetic clusters","proportion_RS_genomes","Uncultivated"
0,8.74250240949881,0.594471005787548,52.6464346651027,12.687025,909684.953480911,0.4,1.24819810672466,0,0,0,"Uncultivated"
0,7.57843199761111,4.33548943455532,49.596722050095,12.6982826,1007154.96194169,0.43,1.37890320869493,0,1,0,"Uncultivated"
0,7.77823262479293,2.88545665366395,59.3651437558537,11.89182,979162.543295398,0.44,1.32776623228961,0,0,0,"Uncultivated"
0,6.52529361948444,3.67607357293492,52.0915466505139,9.52279571428572,1004710.33402923,0.5,1.21793934918449,0,0,0,"Uncultivated"
0,7.53802420869128,2.58791328601137,45.4046859804327,11.89239,1112030.53675429,0.4,1.31498302129027,0,0,0,"Uncultivated"
0,7.41917758969638,2.27452593547579,49.8526518126121,10.704512,1399490.0101998,0.35,1.15873709506038,0,0,0,"Uncultivated"
0,6.66716324389407,2.03629331990006,49.2745764245258,12.21833,1392994.74156727,0.41,1.28899438182592,0,0,0,"Uncultivated"
0,7.87280084631453,0.059931289357925,41.2213434434018,7.66053471428572,4034322.70490049,0.31,0.940606229284344,1,0,0,"Uncultivated"
0,6.43619176312244,0,44.9937365849559,14.20105,6932177.6504298,0.5,1.05401082117776,1,0,0,"Uncultivated"
0,7.20123799797005,1.83597860935068,52.8366581572066,10.758,4697816.07262946,0.29,1.3935706077564,1,0,0,"Uncultivated"
0,7.48609439679906,2.39017712216039,46.9028071268705,12.9519316666667,3880776.81054286,0.32,1.00928485058496,1,0,0,"Uncultivated"
0,5.74655058860344,0,39.0862773806483,18.89445,7506441.45122746,0.48,0.9039958439634,1,1,0,"Uncultivated"
0,8.46035229496371,6.07031826094922,39.6013755924604,6.548431,1184512.34269119,0.47,1.1921775987071,0,0,0,"Uncultivated"
0,5.24138236156144,3.00281288770304,40.5427180989911,17.7885904761905,1716044.43426477,0.48,1.13119729439515,1,1,0,"Uncultivated"
1,6.85975597266432,18.1379608581195,36.794614906664,9.51692666666667,3234763.05119108,0.59,1.31774872343092,1,1,0.631578947368421,"Cultivated representative"
1,6.90049473497454,20.2717857219648,48.9265209959798,3.992503,3223338.4940183,0.68,1.20077792943967,1,1,1,"Cultivated representative"
0,5.87854397616527,1.2261914675262,51.065267948076,7.0868306,2589720.47304562,0.56,1.25373109543717,1,1.5,1,"Cultivated representative"
